Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
»ÆÉÜ¸f ;14000;CGX;1920;1920;1920;1920;0;5;1;2;0;5;0;huangshaohong;1920;1990;x
Àî×ÚÈÊ ;14001;CGX;1920;1920;1920;1920;0;7;7;3;0;5;0;lizongren;1920;1990;x
°×³çìû ;14002;CGX;1920;1920;1920;1920;0;7;51;3;0;5;0;baichongxi;1920;1990;x
ãÛÎ¬Óº ;14003;CGX;1930;1990;1990;1990;3;5;34;1;0;5;0;kanweiyong;1930;1990;x
Î¤ÔÆäÁ ;14004;CGX;1920;1920;1990;1990;2;4;2;1;0;5;0;weiyunsong;1920;1990;x
»ÆÐñ³õ ;14005;CGX;1920;1920;1920;1990;1;6;1;1;0;5;0;huangxuchu;1920;1990;x
ÏÄÍþ ;14010;CGX;1920;1928;1990;1990;2;6;20;1;0;5;0;xiawei;1920;1990;x
ºú×Úîì ;14013;CGX;1920;1920;1990;1990;2;5;5;1;0;5;0;huzongduo;1920;1990;x
Ò¶ç÷ ;14014;CGX;1920;1920;1990;1990;3;5;17;1;0;5;0;yeqi;1920;1990;x
ÀîÃ÷Èð ;14015;CGX;1920;1990;1990;1990;3;4;1;1;0;5;0;limingrui;1920;1929;x
Óá×÷°Ø ;14016;CGX;1920;1926;1929;1990;1;5;5;1;0;5;0;yuzuobo;1920;1990;x
ÁõÈÕ¸£ ;14017;CGX;1920;1927;1990;1990;2;4;2;1;0;5;0;dazhong;1920;1929;x
ÎéÍ¢ïr ;14018;CGX;1920;1928;1990;1990;2;5;17;1;0;5;0;wutingyang;1920;1929;x
ÖÓ×æÅà ;14019;CGX;1920;1926;1990;1990;2;5;16;1;0;5;0;zhongzupei;1920;1990;x
ÂÀ»ÀÑ× ;14020;CGX;1920;1928;1990;1990;2;4;32;1;0;5;0;lvhuanyan;1920;1929;x
ÀîÆ·ÏÉ ;14021;CGX;1928;1928;1990;1990;2;6;66;1;0;5;0;lipinxian;1928;1990;x
ÁÎÀÚ ;14022;CGX;1929;1990;1990;1990;3;5;100;1;0;5;0;liaolei;1929;1990;x
ÌÕ¾û ;14026;CGX;1920;1928;1990;1990;2;4;84;1;0;5;0;dazhong;1920;1990;x
ÄªÊ÷½Ü ;14030;CGX;1929;1990;1990;1990;3;4;64;1;0;5;0;dazhong;1929;1990;x
ÕÅäÆ ;14034;CGX;1920;1990;1990;1990;3;6;32;1;0;5;0;zhanggan;1920;1990;x
ËÕ×æÜ° ;14035;CGX;1929;1990;1990;1990;3;6;4;1;0;5;0;suzuxing;1929;1990;x
»ÆÃÎÄê ;14038;CGX;1929;1990;1990;1990;3;4;2;1;0;5;0;huangmengnian;1929;1990;x
Áº³¯çá ;14039;CGX;1928;1990;1990;1990;3;5;4;1;0;5;0;liangchaoji;1928;1990;x
³Â¼Ã»¸ ;14040;CGX;1920;1990;1990;1990;3;6;0;1;0;5;0;chenjihuan;1920;1990;x
