Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阎锡山 ;20000;CSX;1920;1920;1920;1920;0;7;3;2;0;5;0;yanxishan;1920;1990;x
辜仁发 ;20001;CSX;1920;1929;1990;1990;3;5;64;1;0;5;0;dazhong;1920;1990;x
商震 ;20002;CSX;1920;1920;1926;1990;1;6;5;2;0;5;0;shangzhen;1920;1990;x
丰玉玺 ;20003;CSX;1920;1927;1990;1990;3;5;2;1;0;5;0;dazhong;1920;1990;x
张荫梧 ;20004;CSX;1920;1927;1990;1990;2;5;2;1;0;5;0;zhangyinwu;1920;1990;x
孙长胜 ;20005;CSX;1927;1990;1990;1990;3;5;22;1;0;5;0;sunchangsheng;1927;1990;x
徐永昌 ;20006;CSX;1999;1990;1990;1990;1;7;35;2;0;5;0;xuyongchang;1999;1990;x
杨效欧 ;20007;CSX;1920;1930;1990;1990;2;5;2;1;0;5;0;yangxiaoou;1920;1990;x
傅作义 ;20008;CSX;1920;1926;1930;1990;1;7;83;3;0;5;0;fuzuoyi;1920;1990;x
孙楚 ;20009;CSX;1920;1926;1990;1990;2;5;18;1;0;5;0;sunchu;1920;1990;x
赵承绶 ;20010;CSX;1920;1920;1928;1990;1;5;20;2;0;5;0;zhaochengshou;1920;1990;x
楚溪春 ;20011;CSX;1920;1990;1990;1990;3;5;67;2;0;5;0;chuxichun;1920;1990;x
杨爱源 ;20012;CSX;1920;1920;1926;1990;1;6;6;2;0;5;0;yangaiyuan;1920;1990;x
陈长捷 ;20013;CSX;1927;1930;1990;1990;2;6;20;2;0;5;0;chenchangjie;1927;1990;x
王靖国 ;20014;CSX;1920;1928;1990;1990;2;6;3;1;0;5;0;wangjingguo;1920;1990;x
傅存怀 ;20015;CSX;1920;1928;1990;1990;2;5;2;1;0;5;0;dazhong;1920;1990;x
王嗣昌 ;20016;CSX;1920;1926;1990;1990;2;5;4;1;0;5;0;dazhong;1920;1990;x
孔繁霨 ;20017;CSX;1920;1920;1926;1990;1;5;6;1;0;5;0;dazhong;1920;1990;x
李维新 ;20018;CSX;1920;1990;1990;1990;3;5;16;1;0;5;0;dazhong;1920;1990;x
张培梅 ;20019;CSX;1920;1920;1926;1990;1;5;3;2;0;5;0;zhangpeimei;1920;1990;x
谢濂 ;20020;CSX;1920;1926;1990;1990;2;5;0;1;0;5;0;dazhong;1920;1990;x
荣鸿胪 ;20021;CSX;1920;1928;1990;1990;2;5;0;1;0;5;0;dazhong;1920;1990;x
丰羽鹏 ;20022;CSX;1920;1990;1990;1990;3;5;0;1;0;5;0;dazhong;1920;1990;x
蔡寿荣 ;20023;CSX;1920;1990;1990;1990;3;5;0;1;0;5;0;dazhong;1920;1990;x
李德懋 ;20024;CSX;1930;1990;1990;1990;3;4;0;1;0;5;0;dazhong;1930;1990;x
张振万 ;20025;CSX;1920;1990;1990;1990;3;5;64;1;0;5;0;dazhong;1920;1990;x
周玳 ;20026;CSX;1920;1928;1990;1990;3;5;68;1;0;5;0;zhoudai;1920;1990;x
