Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
ÁúÔÆ ;92000;CYN;1920;1920;1920;1920;0;6;18;2;0;5;0;longyun;1920;1990;x
ÌÆ¼ÌÒ¢ ;92001;CYN;1920;1920;1920;1920;0;7;84;2;0;5;0;tangjiyao;1920;1990;x
Â¬ºº ;92002;CYN;1920;1990;1925;1990;1;5;66;2;0;5;0;luhan;1920;1990;x
ºúÈôÓÞ ;92003;CYN;1920;1920;1920;1990;1;4;4;1;0;5;0;huruoyu;1920;1990;x
ÕÅ³å ;92004;CYN;1920;1990;1990;1990;3;4;0;1;0;5;0;zhangchong;1920;1990;x
ÌÆ¼Ì÷ë ;92005;CYN;1920;1990;1990;1990;3;4;0;1;0;5;0;dazhong;1920;1990;x
Íõ¼×±¾ ;92006;CYN;1920;1920;1990;1990;2;4;2;1;0;5;0;wangjiaben;1920;1990;x
Â³µÀÔ´ ;92007;CYN;1920;1990;1990;1990;3;5;4;1;0;5;0;ludaoyuan;1920;1990;x
Ñî½Ü ;92009;CYN;1920;1990;1990;1990;3;5;48;1;0;5;0;yangjie;1920;1990;x
ÀîÑ¡Í¢ ;92010;CYN;1920;1920;1920;1990;1;5;0;1;0;5;0;dazhong;1920;1990;x
ÕÅÈêæ÷ ;92011;CYN;1920;1926;1926;1990;1;5;2;1;0;5;0;dazhong;1920;1990;x
¸ßÒñ»± ;92012;CYN;1920;1927;1990;1990;3;5;2;1;0;5;0;gaoyinhuai;1920;1990;x
ÌÆ¼ÌÓÝ ;92013;CYN;1920;1990;1990;1990;3;4;4;1;0;5;0;dazhong;1920;1990;x
