Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
山梨半造 ;2;JAP;1920;1920;1920;1920;0;8;85;4;0;5;0;shanlibanzao;1920;1990;x
白川义则 ;3;JAP;1920;1920;1920;1990;1;7;5;4;0;5;0;baichuanyize;1920;1990;x
南次郎 ;4;JAP;1920;1920;1990;1990;2;7;4;4;0;5;0;nancilang;1920;1990;x
宇垣一成 ;5;JAP;1920;1920;1920;1920;0;8;1;4;0;5;0;yuyuanyicheng;1920;1990;x
阿部信行 ;6;JAP;1920;1931;1990;1990;2;7;4;4;0;5;0;abuxinxing;1920;1990;x
畑英太郎 ;8;JAP;1920;1920;1929;1990;1;7;13;4;0;5;0;tianyingtailang;1920;1990;x
杉山元 ;9;JAP;1920;1930;1990;1990;2;7;4;4;0;5;0;shanshanyuan;1920;1990;x
荒木贞夫 ;10;JAP;1920;1929;1990;1990;2;7;5;4;0;5;0;huangmuzhengfu;1920;1990;x
铃木庄六 ;11;JAP;1920;1920;1920;1920;0;7;12;4;0;5;0;lingmuzhuangliu;1920;1990;x
金谷范三 ;12;JAP;1920;1920;1928;1990;1;7;2;4;0;5;0;jingufansan;1920;1990;x
菊池慎之助 ;13;JAP;1920;1920;1920;1990;1;7;6;4;0;5;0;juchishenzhizhu;1920;1927;x
武藤信义 ;14;JAP;1920;1920;1926;1930;0;9;15;5;0;5;0;wutengxinyi;1920;1990;x
林銑十郎 ;15;JAP;1920;1926;1990;1990;2;7;4;4;0;5;0;linxianshilang;1920;1990;x
真崎甚三郎 ;16;JAP;1920;1927;1931;1990;3;7;20;4;0;5;0;zhenqishensanlang;1920;1990;x
田中国重 ;17;JAP;1920;1920;1990;1990;2;7;4;4;0;5;0;tianzhongguozhong;1920;1990;x
菱刈隆 ;18;JAP;1920;1920;1928;1990;1;7;5;4;0;5;0;lingyilong;1920;1990;x
渡辺錠太郎 ;19;JAP;1925;1926;1930;1990;1;7;2;4;0;5;0;dubiandingtailang;1925;1990;x
林仙之 ;20;JAP;1920;1931;1990;1990;3;7;12;4;0;5;0;linxianzhi;1920;1990;x
寺内寿一 ;21;JAP;1920;1930;1990;1990;3;8;22;4;0;5;0;sineishouyi;1920;1990;x
森冈守成 ;22;JAP;1920;1920;1926;1990;1;7;20;4;0;5;0;sengangshoucheng;1920;1990;x
河合操 ;24;JAP;1920;1920;1920;1920;0;7;513;4;0;5;0;hehecao;1920;1990;x
石光真臣 ;25;JAP;1920;1920;1990;1990;2;7;0;4;0;5;0;shiguangzhenchen;1920;1990;x
井上几太郎 ;30;JAP;1920;1920;1928;1990;1;7;260;4;0;5;0;jingshangjitailang;1920;1990;x
小泉六一 ;32;JAP;1920;1929;1990;1990;2;7;0;4;0;5;0;xiaoquanliuyi;1920;1990;x
福田彦助 ;35;JAP;1920;1920;1990;1990;2;7;6;4;0;5;0;futianyanzhu;1920;1990;x
本庄繁 ;38;JAP;1920;1928;1931;1990;1;8;7;4;0;5;0;benzhuangfan;1920;1990;x
松井石根 ;40;JAP;1920;1927;1990;1990;2;7;4;4;0;5;0;songjingshigen;1920;1990;x
植田谦吉 ;49;JAP;1920;1928;1990;1990;2;7;6;4;0;5;0;zhitianqianji;1920;1990;x
