Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
土登嘉措 ;28000;TIB;1920;1920;1920;1990;0;3;512;1;0;5;0;土登嘉措;1920;1990;x
达桑占堆 ;28001;TIB;1920;1920;1920;1990;1;3;512;1;0;5;0;dasangzhandui;1920;1990;x
丹巴绦央 ;28002;TIB;1920;1920;1920;1990;1;3;512;1;0;5;0;danbajiangyang;1920;1990;x
索南旺堆 ;28003;TIB;1920;1920;1920;1990;1;3;512;1;0;5;0;suonanwangdui;1920;1990;x
索康旺青格列 ;150000;TIB;1938;1990;1990;1990;3;2;0;0;0;4;0;L150020_Wangchen Geleg;1938;1990;x
塔所克 ;150001;TIB;1930;1930;1990;1990;1;3;516;1;0;4;0;L150021_Tsoko;1930;1990;x
塔帕益 ;150002;TIB;1930;1930;1930;1990;1;4;514;1;0;4;0;L150022_Tsarong;1930;1990;x
腾东 萨帕 ;150003;TIB;1930;1930;1990;1990;2;3;513;1;0;4;0;L150023_Tendong Shappe;1930;1990;x
路宏 ;150006;TIB;1930;1990;1990;1990;3;2;0;0;0;4;0;L150024_Ruthog;1930;1990;x
拿嘎涉 ;150007;TIB;1940;1990;1990;1990;3;2;0;0;0;4;0;L150025_Ragashar;1940;1990;x
纳莫瑟灵 ;150008;TIB;1930;1990;1990;1990;3;2;0;0;0;4;0;L150026_Namseling;1930;1990;x
多布加索康 ;150009;TIB;1942;1942;1990;1990;1;3;8;0;0;4;0;L150027_Lhawang Tobgyal;1942;1990;x
琼 邓杰 ;150010;TIB;1930;1990;1990;1990;2;2;513;0;0;4;0;L150028_Khyungram;1930;1990;x
晋图灵 ;150011;TIB;1938;1990;1990;1990;2;3;2;2;0;4;0;L150029_Jigme Taring uniforme;1938;1990;x
多灵 邓杰 ;150012;TIB;1930;1990;1990;1990;2;3;8;1;0;4;0;L150030_Doring Theiji;1930;1990;x
丁亚 ;150013;TIB;1930;1930;1990;1990;2;3;514;0;0;4;0;L150031_Dingja;1930;1990;x
常让 德珀;150014;TIB;1930;1930;1930;1990;3;2;576;0;0;4;0;L150032_Changra Depon;1930;1990;x
宇托 ;150015;TIB;1938;1990;1990;1990;1;4;4;1;0;4;0;L150033_Yuthok;1938;1990;x
多布加 ;150016;TIB;1940;1990;1990;1990;1;3;32;1;0;4;0;;1940;1990;x
阿旺晋美 ;150017;TIB;1940;1940;1990;1990;1;4;16;1;0;4;0;L150009;1940;1990;x
巴帕益西 ;150018;TIB;1944;1940;1990;1990;2;3;256;0;0;4;0;L150001;1944;1990;x
昆布扎西 ;150019;TIB;1942;1944;1990;1990;1;4;257;1;0;4;0;L150035_Gompo Tashi Andrugtsang;1942;1990;x
旺堆 ;150020;TIB;1944;1940;1990;1990;2;3;260;1;0;4;0;L150036_Gyato Wangdu;1944;1990;x
塔所克 ;150021;TIB;1930;1930;1990;1990;3;2;0;0;0;4;1;L150021_Tsoko;1930;1990;x
路宏 ;150022;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150024_Ruthog;1930;1990;x
晋图灵 ;150023;TIB;1938;1990;1990;1990;2;3;0;0;0;4;1;L150029_Jigme Taring uniforme;1938;1990;x
巴帕益西 ;150024;TIB;1944;1940;1990;1990;2;3;0;0;0;4;1;L150001;1944;1990;x
纳莫瑟灵 ;150025;TIB;1930;1990;1990;1990;3;2;0;0;0;4;2;L150026_Namseling;1930;1990;x
腾东 萨帕 ;150026;TIB;1930;1930;1990;1990;3;2;0;0;0;4;2;L150023_Tendong Shappe;1930;1990;x
宇托 ;150027;TIB;1938;1990;1990;1990;2;3;0;0;0;4;2;L150033_Yuthok;1938;1990;x
旺堆 ;150028;TIB;1944;1940;1990;1990;2;3;0;0;0;4;2;L150036_Gyato Wangdu;1944;1990;x
