Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
陈济棠 ;1400001;U20;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1927;1999;x
余汉谋 ;1400002;U20;1930;1939;1990;1990;2;2;0;1;0;4;0;L502002;1927;1999;x
香翰屏 ;1400003;U20;1930;1930;1990;1990;2;4;2;2;0;2;0;L502003;1927;1960;x
李扬敬 ;1400004;U20;1930;1930;1990;1990;2;4;2;2;0;3;0;L50290;1927;1960;x
陈公侠 ;1400005;U20;1930;1939;1990;1990;3;3;0;0;0;4;0;L50033;1927;1960;x
张发奎 ;1400006;U20;1930;1930;1930;1990;1;4;2;2;0;3;0;L50006;1927;1960;x
陈策 ;1400007;U20;1930;1930;1990;1990;2;3;2048;1;0;4;1;L50354;1927;1960;x
黄光锐 ;1400008;U20;1930;1930;1990;1990;3;3;0;1;0;4;2;L50374;1927;1960;x
李济深 ;1400009;U20;1930;1930;1930;1990;1;3;16;1;0;5;0;L502009;1927;1999;x
缪培南 ;1400010;U20;1930;1990;1990;1990;3;2;256;0;0;5;0;L50242;1927;1999;x
李汉魂 ;1400011;U20;1930;1990;1990;1990;3;2;4;0;0;5;0;L50175;1927;1999;x
邓龙光 ;1400012;U20;1930;1930;1990;1990;2;2;0;0;0;5;0;L502012;1927;1999;x
李振球 ;1400013;U20;1930;1930;1990;1990;2;2;4;0;0;4;0;L50170;1927;1999;x
叶肇 ;1400014;U20;1930;1990;1990;1990;3;2;0;0;0;5;0;L502014;1927;1999;x
张达 ;1400015;U20;1930;1942;1990;1990;3;3;128;1;0;5;0;L502015;1927;1999;x
张瑞贵 ;1400016;U20;1930;1990;1990;1990;3;2;0;0;0;5;0;L502016;1927;1999;x
黄廷桢 ;1400017;U20;1930;1990;1990;1990;3;2;0;0;0;5;0;L502017;1927;1999;x
黄质文 ;1400018;U20;1930;1930;1990;1990;2;3;8192;1;0;5;0;L502018;1927;1999;x
王任寰 ;1400019;U20;1930;1990;1990;1990;3;2;0;0;0;5;0;L502019;1927;1999;x
莫希德 ;1400020;U20;1930;1990;1990;1990;3;2;0;0;0;5;0;L502020;1927;1999;x
王赞斌 ;1400021;U20;1930;1990;1990;1990;3;2;4096;0;0;5;0;L502021;1927;1999;x
林德曼 ;1400022;U20;1930;1930;1990;1990;2;4;10;0;0;5;0;L502022;1927;1940;x
张枚新 ;1400023;U20;1940;1940;1990;1990;2;4;516;1;0;5;0;L502023;1927;1999;x
谭朗星 ;1400024;U20;1930;1930;1990;1990;2;4;129;1;0;5;0;L502024;1927;1999;x
陈汉光 ;1400025;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502025;1927;1999;x
陈章 ;1400026;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502026;1927;1999;x
罗梓材 ;1400027;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502027;1927;1999;x
李浩之 ;1400028;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502028;1927;1999;x
范德星 ;1400029;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502029;1927;1999;x
严应鱼 ;1400030;U20;1930;1930;1990;1990;2;4;0;1;0;5;0;L502030;1927;1999;x
张惠长 ;1400031;U20;1930;1930;1990;1990;2;4;8192;1;0;5;2;L502031;1927;1999;x
张之英 ;1400032;U20;1930;1930;1990;1990;2;4;4096;1;0;5;1;L502032;1927;1999;x
黄涛 ;1400033;U20;1936;1939;1990;1990;3;3;32;0;0;4;0;L50133;1927;1960;x
李振 ;50169;U20;1930;1945;1990;1990;3;4;514;1;0;4;0;L50169;1927;1988;x
李春浓 ;50173;U20;1930;1990;1990;1990;1;4;513;1;0;4;0;L50173;1927;1960;x
