#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
RT_ARTILLERY;炮兵射击术 ;;;;;;;;;;X
RT_MECHANICS;机械学 ;;;;;;;;;;X
RT_ELECTRONICS;电子学 ;;;;;;;;;;X
RT_CHEMISTRY;化学 ;;;;;;;;;;X
RT_TRAINING;训练 ;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;通用设备 ;;;;;;;;;;X
RT_ROCKETRY;火箭学 ;;;;;;;;;;X
RT_NAVAL_ENGINEERING;海军工程学 ;;;;;;;;;;X
RT_AERONAUTICS;航空学 ;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;核物理学 ;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;核工程学 ;;;;;;;;;;X
RT_MANAGEMENT;管理学 ;;;;;;;;;;X
RT_INDUSTRIAL_ENGINEERING;工业管理学 ;;;;;;;;;;X
RT_MATHEMATICS;数学 ;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;小兵团战术 ;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;大兵团战术 ;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;集中行动 ;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;分散行动 ;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;科研效率 ;;;;;;;;;;X
RT_INDIVIDUAL_COURAGE;个人英雄主义 ;;;;;;;;;;X
RT_INFANTRY_FOCUS;步兵协同 ;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;步坦协同 ;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;大兵团协同 ;;;;;;;;;;X
RT_NAVAL_ARTILLERY;海军炮兵射击术 ;;;;;;;;;;X
RT_NAVAL_TRAINING;海军训练 ;;;;;;;;;;X
RT_AIRCRAFT_TESTING;飞机试验 ;;;;;;;;;;X
RT_FIGHTER_TACTICS;战斗机战术 ;;;;;;;;;;X
RT_BOMBER_TACTICS;轰炸机战术 ;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;大编队战术 ;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;小编队战术 ;;;;;;;;;;X
RT_SEAMANSHIP;航海术 ;;;;;;;;;;X
RT_PILOTING;地标领航 ;;;;;;;;;;X
RT_SUBMARINE_TACTICS;潜艇战术 ;;;;;;;;;;X
RT_CARRIER_TACTICS;航母战术 ;;;;;;;;;;X
#;;;;;;;;;;;x
TECH_CAT_NUCLEAR;核工业 ;;;;;;;;;;X
TECH_CAT_LIGHTCRUISERS;轻巡洋舰 ;;;;;;;;;;X
TECH_CAT_BATTLECRUISERS;战列巡洋舰 ;;;;;;;;;;X
TECH_CAT_HEAVYCRUISERS;重巡洋舰 ;;;;;;;;;;X
TECH_CAT_AIRCARRIERS;航空母舰 ;;;;;;;;;;X
TECH_CAT_DESTROYERS;驱逐舰 ;;;;;;;;;;X
TECH_CAT_SUBMARINES;潜艇 ;;;;;;;;;;X
TECH_CAT_BATTLESHIPS;战列舰 ;;;;;;;;;;X
TECH_CAT_LIGHTCARRIER;轻型航母 ;;;;;;;;;;X
TECH_CAT_INFANTRY_2;步兵 ;;;;;;;;;;x
TECH_CAT_INFANTRY_1;精锐团 ;;;;;;;;;;x
TECH_CAT_INFANTRY_3;骑兵 ;;;;;;;;;;x
TECH_CAT_ARMOR_1;步枪 ;;;;;;;;;;x
TECH_CAT_ARMOR_2;机枪 ;;;;;;;;;;x
#;;;;;;;;;;;x
TECH_INFANTRY_NAME;步兵 ;;;;;;;;;;X
TECH_INFANTRY_DESC;这个领域的研究能使一个国家改良它的步兵单兵武器装备。 它包括手持武器以及一些用来建立海军陆战队和空降兵的特 种装备。或许最重要的是这个领域的研究可以发展出合适的 战地工程配备并改良后勤和指挥系统。对于任何面对战争的 国家，这是极其重要的领域。 ;;;;;;;;;;X
TECH_APP_INFANTRY_1_NAME;清末老式陆军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_1_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_1_1_NAME;一战制式步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_2_NAME;37毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_3_NAME;基本信号指挥系统 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_4_NAME;手榴弹和地雷 ;;;;;;;;;;X
TECH_CMP_INFANTRY_1_5_NAME;大规模突击训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_2_NAME;德式操典编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_2_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_2_1_NAME;制式步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_2_NAME;50毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_3_NAME;基本远程侦察部队 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_4_NAME;50毫米轻型迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_2_5_NAME;小兵团战斗训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_3_NAME;小站新军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_3_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_3_1_NAME;基本冲锋枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_2_NAME;75毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_3_NAME;基本信号侦听及干扰设备 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_4_NAME;81毫米中型迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_3_5_NAME;专业后勤训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_4_NAME;清末北方新军 ;;;;;;;;;;X
TECH_APP_INFANTRY_4_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_4_1_NAME;改良冲锋枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_4_2_NAME;105毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_4_3_NAME;改良信号指挥系统 ;;;;;;;;;;X
TECH_CMP_INFANTRY_4_4_NAME;120毫米重型迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_4_5_NAME;协同作战训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_5_NAME;国械参战军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_5_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_5_1_NAME;基本突击步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_5_2_NAME;150毫米步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_5_3_NAME;改良远程侦察部队 ;;;;;;;;;;X
TECH_CMP_INFANTRY_5_4_NAME;火箭筒 ;;;;;;;;;;X
TECH_CMP_INFANTRY_5_5_NAME;特遣部队训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_6_NAME;北洋中央军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_6_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_6_1_NAME;改良突击步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_6_2_NAME;120毫米速射步兵炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_6_3_NAME;改良信号侦听及干扰设备 ;;;;;;;;;;X
TECH_CMP_INFANTRY_6_4_NAME;反坦克无坐力炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_6_5_NAME;步坦协同作战训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_7_NAME;派系军阀编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_7_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_7_1_NAME;基本冲锋枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_7_2_NAME;50毫米轻型迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_7_3_NAME;伞兵靴 ;;;;;;;;;;X
TECH_CMP_INFANTRY_7_4_NAME;伞兵突击车 ;;;;;;;;;;X
TECH_CMP_INFANTRY_7_5_NAME;伞兵运输训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_8_NAME;大军阀陆军编制 ;;;;;;;;;;X
TECH_APP_INFANTRY_8_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_8_1_NAME;改良冲锋枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_8_2_NAME;81毫米迫击炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_8_3_NAME;基本滑翔机 ;;;;;;;;;;X
TECH_CMP_INFANTRY_8_4_NAME;空降半履带式车辆 ;;;;;;;;;;X
TECH_CMP_INFANTRY_8_5_NAME;伞兵跳伞训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_9_NAME;改良空降师 ;;;;;;;;;;X
TECH_APP_INFANTRY_9_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_9_1_NAME;基本突击步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_9_2_NAME;75毫米山炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_9_3_NAME;小兵团密集空降 ;;;;;;;;;;X
TECH_CMP_INFANTRY_9_4_NAME;轻型空降坦克 ;;;;;;;;;;X
TECH_CMP_INFANTRY_9_5_NAME;伞兵滑翔训练 ;;;;;;;;;;X
TECH_APP_INFANTRY_9_NAME;列强扶持陆军 ;;;;;;;;;;x
TECH_APP_INFANTRY_9_DESC;TECH_APP_INFANTRY_9_DESC;;;;;;;;;;x
TECH_CMP_INFANTRY_9_1_NAME;TECH_CMP_INFANTRY_9_1_NAME;;;;;;;;;;x
TECH_CMP_INFANTRY_9_2_NAME;TECH_CMP_INFANTRY_9_2_NAME;;;;;;;;;;x
TECH_CMP_INFANTRY_9_3_NAME;TECH_CMP_INFANTRY_9_3_NAME;;;;;;;;;;x
TECH_CMP_INFANTRY_9_4_NAME;TECH_CMP_INFANTRY_9_4_NAME;;;;;;;;;;x
TECH_CMP_INFANTRY_9_5_NAME;TECH_CMP_INFANTRY_9_5_NAME;;;;;;;;;;x
TECH_APP_INFANTRY_10_NAME;日式操典编制  ;;;;;;;;;;X
TECH_APP_INFANTRY_10_DESC;;;;;;;;;;;X
TECH_CMP_INFANTRY_10_1_NAME;改良突击步枪 ;;;;;;;;;;X
TECH_CMP_INFANTRY_10_2_NAME;105毫米山炮 ;;;;;;;;;;X
TECH_CMP_INFANTRY_10_3_NAME;大兵团密集空降 ;;;;;;;;;;X
TECH_CMP_INFANTRY_10_4_NAME;中型空降坦克 ;;;;;;;;;;X
TECH_CMP_INFANTRY_10_5_NAME;伞兵突击训练 ;;;;;;;;;;X
